borough,age_less_20,age_20_24,age_25_29,age_30_34,age_35_39,age_plus_40,nh_total,nh_white_only_ratio,nh_black_only_ratio,nh_other_ratio,h_total,h_white_only_ratio,h_black_only_ratio,medicaid,self_pay,other_insurance,not_stated,total,region
New York State,1012.9,588.8,378.4,214.6,203.4,269.1,334.1,142.9,758.5,202.1,344.4,189,534.6,325.66302652106083,3755.020080321285,10322.628458498024,3252.3874488403817,336.50288388290346,NA
New York City,1491.4,792.2,526.8,302.8,264.2,323,459.4,165.6,851.7,243.2,428.1,167.7,570.6,401.74073144196166,8801.213960546283,19924.43324937028,1477.8761061946902,450.4669492012963,NA
Bronx,1291.9,860.8,605,497.1,443.1,447.8,786.6,369.8,734.3,419.3,500.2,172.2,684.6,488.45409292035396,6150.943396226415,31915.09433962264,1498.069498069498,623.3190950798925,New York City
Brooklyn,1388.4,515.3,412.6,251.8,210.5,242.8,343.7,88.6,837.7,162.5,393.1,214.2,432,286.9984652488489,8644.444444444443,19678.414096916298,2058.8235294117644,351.7053279684589,New York City
Manhattan,1964.9,1768.6,988.1,312.2,256.5,312,542.9,320.8,1228.3,253.2,519.8,220.6,601.4,708.3601977218998,31285.714285714286,62864.40677966102,576.5765765765766,537.4915421049394,New York City
Queens,1780.1,915.6,476.5,282.9,275.7,396.4,494.2,155,895.1,273.1,329.4,80.4,287.4,408.6483023702754,6299.180327868853,33990.99099099099,3519.4805194805194,445.73556797020484,New York City
Staten Island,1252.2,721.7,307,145.7,130,231.9,264.7,137.9,692.2,142.9,311.7,377.9,311.8,323.99457749661093,7259.259259259259,1676.975945017182,2142.8571428571427,275.5632582322357,New York City
Albany,1346.9,825.5,394.5,200.4,215.2,381,376.4,257,919.6,140.6,402.7,327.9,569.2,594.3172849250197,2200,43750,11250,378.9862369922793,Capital/Saratoga
Allegany,357.1,214.3,61.2,107.1,109.1,166.7,140.3,124.4,NA,133.3,96.8,0,NA,114.15525114155251,15.625,2583.3333333333335,208.33333333333334,137.5,Western New York
Broome,821.1,463.7,312.2,183.2,187.8,172.4,296.6,221.9,803.9,152.9,482.8,1000,272.7,341.98331788693235,3166.6666666666665,3800,36333.333333333336,307.69230769230774,Central New York
Cattaraugus,236.8,82.6,114.9,107,86,187.5,116.8,91.5,625,13.3,41.2,0,0,107.8167115902965,342.85714285714283,571.4285714285714,36.58536585365854,107.87878787878788,Western New York
Cayuga,620.7,186.7,150.6,95.2,76.9,150,147.7,99.2,500,218.8,243.9,384.6,NA,175.71059431524546,300,4333.333333333333,5000,152.9255319148936,Central New York
Chautauqua,161.6,95.9,92,80.3,97.7,60.6,101.2,65.9,333.3,137.3,64.8,20.1,NA,158.9242053789731,310.3448275862069,653.8461538461538,109.58904109589041,95.38002980625932,Western New York
Chemung,615.4,281.3,247.4,182.6,404.5,666.7,290.1,252.3,929.8,94.3,102.6,43.5,NA,391.86295503211994,800,2523.809523809524,8000,281.87919463087246,Finger Lakes
Chenango,750,153.8,134.5,190,192.3,571.4,203.5,163.6,NA,300,0,0,0,197.67441860465115,1800,2200,2111.1111111111113,195.3290870488323,Central New York
Clinton,370.4,154.4,84.6,44.6,48.8,266.7,98.3,85.2,2000,133.3,50,71.4,0,111.1111111111111,125,17000,666.6666666666666,96.95290858725762,Eastern Adirondacks
Columbia,304.3,188.4,206.7,114.3,51.9,100,163.2,147.1,521.7,88.2,60,130.4,0,153.84615384615387,1000,15000,250,152.4008350730689,Capital/Saratoga
Cortland,478.3,191.9,111.9,118.1,113.2,500,162.7,164.5,222.2,0,74.1,0,0,203.3898305084746,1000,2600,583.3333333333334,157.4279379157428,Central New York
Delaware,312.5,306.7,190.5,212.1,340.9,400,225.2,172,1714.3,83.3,812.5,400,NA,191.91919191919192,4000,19000,14000,252.14899713467048,Hudson Valley
Dutchess,1166.7,732.6,317.9,175.8,146.6,239.3,302,195.3,842.8,181,281.1,215.2,916.7,210.17274472168907,2263.157894736842,8238.095238095237,39666.666666666664,297.8881067061875,Hudson Valley
Erie,750.6,594.5,375.5,191.1,215.9,303.9,325.8,128,336.2,61.6,467.2,237.8,338.2,385.9527121001391,2945.9459459459463,1252.4752475247524,8818.181818181818,337.63818576299207,Western New York
Essex/Hamilton,NA,106.1,27.5,48.1,19.2,142.9,53.6,46,NA,0,NA,NA,0,87.59124087591242,200,3000,76.92307692307693,55.393586005830905,Eastern Adirondacks
Franklin,500,170,168.1,52.2,106.4,0,150,142.9,NA,212.1,0,0,0,346.15384615384613,0,300,357.14285714285717,145.985401459854,Eastern Adirondacks
Fulton,372.1,257.6,183,137.9,192.3,357.1,204.5,200,NA,153.8,500,454.5,0,148.4848484848485,2000,3000,NA,213.72549019607843,Capital/Saratoga
Greene,357.1,245.3,150.8,70.7,125,500,158.9,145.7,857.1,83.3,153.8,150,0,134.50292397660817,5000,NA,333.3333333333333,158.33333333333331,Capital/Saratoga
Hamilton/Essex,NA,106.1,27.5,48.1,19.2,142.9,53.6,46,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Herkimer,481.5,201.6,169.1,98.3,208.3,0,170.5,37.3,NA,0,136.4,66.7,NA,173.65269461077844,74.07407407407408,12000,666.6666666666666,169.32907348242813,Western Adirondacks
Jefferson,270,141.6,122.2,90.7,83.8,87,132.1,106.1,226,47.6,87.7,75,62.5,230.5194805194805,714.2857142857143,3727.272727272727,1333.3333333333333,126.52608213096558,Western Adirondacks
Lewis,200,208.3,92.6,39.5,0,NA,102,65.3,NA,0,NA,0,0,132.8125,80,857.1428571428571,1000,103.33333333333333,Western Adirondacks
Livingston,300,304.3,96,47.6,131,0,120.6,91.1,0,187.5,81.1,41.7,0,136.15023474178403,0,6000,3000,117.96733212341198,Finger Lakes
Madison,500,195.7,155.9,44.8,129,90.9,147.9,40.4,NA,43.5,0,0,0,196.72131147540983,555.5555555555555,4000,294.11764705882354,140.57507987220447,Central New York
Monroe,644.7,526.9,388.4,196.1,193.3,306.5,326.5,140.8,590.3,159,282.6,361.8,461.5,274.7194013896312,673.0769230769231,6000,38333.333333333336,320.8644003538481,Finger Lakes
Montgomery,482.8,315.8,139.8,130.7,209.7,136.4,183,151.7,750,41.7,277.8,157.1,NA,194.80519480519482,73.17073170731707,3600,333.3333333333333,203.4188034188034,Capital/Saratoga
Nassau,1153.5,741.3,287.4,113.3,97.5,162.1,215.8,95.9,707,133.2,216.2,36.4,243.5,211.3436866981769,10472.972972972973,9232.758620689654,15666.666666666666,215.89680766736328,Long Island
Niagara,569.9,392.3,217,136.1,191.6,207.5,228.2,157.2,605.5,120,363.6,280.7,250,272.62931034482756,1384.6153846153845,571.4285714285714,7500,235.37941034316094,Western New York
Oneida,698.3,367.4,211.2,152.8,162.3,196.7,264.8,37.7,89.3,37,30.7,13.4,41.7,299.30394431554527,321.42857142857144,4391.304347826087,2333.3333333333335,243.50259896041584,Western Adirondacks
Onondaga,910,527,311.2,180.4,193,245.5,319,148.6,601.6,86.7,242.6,276.3,404.8,352.55670895809305,1571.4285714285713,8642.857142857143,120000,312.88343558282213,Central New York
Ontario,640,285.7,154.7,83.3,178.6,100,165.7,127.2,478.3,105.3,177.6,171.1,0,196.42857142857142,23.809523809523807,8000,17500,167.01030927835052,Finger Lakes
Orange,550.3,266.1,186.4,126.7,140.4,169.8,170.3,108.3,592.6,224.3,245.3,185.6,631.6,146.72992206031853,3772.727272727273,1773.3333333333335,3272.727272727273,187.788906009245,Hudson Valley
Orleans,260.9,109.9,36,63.6,102,0,76.4,54.7,153.8,0,117.6,0,0,74.62686567164178,74.07407407407408,187.5,NA,78.01418439716312,Western New York
Oswego,246.4,156.6,67.4,109,85.3,133.3,111.8,63.1,111.1,83.3,68.2,50,0,127.79552715654951,83.33333333333333,1357.142857142857,2818.1818181818185,110.21069692058347,Western Adirondacks
Otsego,684.2,522.7,176.5,233.9,213.1,538.5,313.7,259,833.3,416.7,151.5,166.7,NA,336.84210526315786,555.5555555555555,28000,809.5238095238095,301.58730158730157,Central New York
Putnam,1000,262.3,158.8,62.3,93.1,76.9,112.3,97.8,111.1,142.9,114.5,150,NA,107.3170731707317,4666.666666666667,6750,NA,112.92346298619825,Hudson Valley
Rensselaer,821.9,619,343.2,199.3,194.6,254.9,318.9,235.1,908.6,187,544.7,338,1136.4,612.5,7000,34000,8000,336.23910336239106,Capital/Saratoga
Rockland,382.1,100.4,95.2,51.5,58.4,55.7,69.2,32.3,354.8,66.9,134.6,338.6,333.3,38.316243928764166,1253.7313432835822,3781.25,20600,81.10470197517915,Westchester/Rockland
St Lawrence,490.2,118.9,122.2,84.6,9.1,130.4,117.5,106.4,1500,131.6,127,115.4,0,200,51.724137931034484,307.69230769230774,76.92307692307693,118.11811811811812,Western Adirondacks
Saratoga,725,447.2,188.9,96.2,72.5,232.6,163.7,157,333.3,98.6,211.8,125,NA,259.02335456475583,1083.3333333333333,13600,5250,165.69200779727095,Capital/Saratoga
Schenectady,1024.1,648,389.5,226.9,330.6,583.3,387.8,264,828.5,365.4,660.1,894.7,2666.7,347.87735849056605,2200,40000,6000,411.96978500871586,Capital/Saratoga
Schoharie,750,244.4,250,131.6,296.3,500,260.7,250,NA,NA,166.7,100,0,258.06451612903226,0,NA,1000,256.0975609756098,Capital/Saratoga
Schuyler,111.1,172.4,120,20,43.5,200,90.9,75.5,NA,0,0,0,0,28.57142857142857,250,1250,NA,90.36144578313252,Finger Lakes
Seneca,352.9,123.7,114.3,51,162.2,0,112.7,87.3,NA,272.7,117.6,111.1,0,146.66666666666666,24.691358024691358,5000,1600,112.94765840220386,Finger Lakes
Steuben,600,222.7,138.6,125.5,200,142.9,179.3,160.6,1444.4,166.7,250,173.9,0,131.10539845758353,35.294117647058826,1303.370786516854,2600,181.46718146718146,Finger Lakes
Suffolk,579.9,450.4,206.1,95.7,92.9,140.6,196.9,146.9,537.5,90.7,138.6,194.5,252.5,144.19416243654823,4610.169491525424,11819.672131147541,6040,177.3215118992067,Long Island
Sullivan,755.6,350.3,237.5,260.1,204.7,204.5,269.2,224.3,581.8,333.3,349.5,600,375,246.47887323943664,10500,3285.714285714286,4000,286.2029646522235,Hudson Valley
Tioga,304.3,122.6,85.4,42,90.9,142.9,90.9,78.3,NA,76.9,250,428.6,0,208.33333333333334,125,1500,1333.3333333333333,94.9367088607595,Central New York
Tompkins,730.8,430,183.7,75.7,115.9,128.2,175.7,152.1,464.3,126.3,288.5,275.9,NA,262.9757785467128,300,6500,1666.6666666666667,184.02282453637662,Central New York
Ulster,836.1,464.8,336.3,184.4,187.3,271.4,292.4,251.4,795.5,214.3,338.6,388.9,307.7,202.0057306590258,2222.222222222222,4476.190476190476,4285.714285714285,300,Hudson Valley
Warren,875,431.8,195.4,117,183.1,384.6,224.8,215.9,1200,150,470.6,307.7,NA,193.13304721030042,3000,7250,2000,232.6454033771107,Capital/Saratoga
Washington,285.7,230.8,175.8,114.1,140.4,333.3,175.8,167,0,250,250,100,0,105.63380281690141,500,3000,6000,177.4193548387097,Capital/Saratoga
Wayne,461.5,188.6,180.3,132.2,169.8,250,181.7,123.9,842.1,111.1,194,108.7,0,156.6579634464752,244.44444444444443,5000,NA,182.6381059751973,Finger Lakes
Westchester,1307.7,911.9,456.2,188.7,169.6,240.8,360.6,140.2,817.1,121.7,273.5,533.6,353.7,301.2412957917045,13181.818181818182,10086.419753086418,59066.66666666667,329.1944276196245,Westchester/Rockland
